company_name,base_url,people_url,source,is_teamtailor,has_people_page,checked_at
PhantomBuster,https://careers.phantombuster.com,https://careers.phantombuster.com/people,seed,True,True,2026-04-01 11:04 UTC
Acast,https://careers.acast.com,https://careers.acast.com/people,seed,True,True,2026-04-01 11:04 UTC
Quinyx,https://careers.quinyx.com,https://careers.quinyx.com/people,seed,True,True,2026-04-01 11:04 UTC
Detectify,https://careers.detectify.com,https://careers.detectify.com/people,seed,True,True,2026-04-01 11:04 UTC
Funnel.io,https://careers.funnel.io,,seed,False,False,2026-04-01 11:04 UTC
Epidemic Sound,https://careers.epidemicsound.com,,seed,False,False,2026-04-01 11:04 UTC
Hemnet,https://careers.hemnet.se,,seed,False,False,2026-04-01 11:04 UTC
Cint,https://careers.cint.com,,seed,False,False,2026-04-01 11:04 UTC
Mentimeter,https://careers.mentimeter.com,,seed,False,False,2026-04-01 11:04 UTC
Kry,https://careers.kry.se,,seed,False,False,2026-04-01 11:04 UTC
Einride,https://careers.einride.com,,seed,False,False,2026-04-01 11:04 UTC
Anyfin,https://careers.anyfin.com,,seed,False,False,2026-04-01 11:04 UTC
Heianordnorge,https://heianordnorge.teamtailor.com,https://heianordnorge.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Biotwin,https://biotwin.teamtailor.com,,commoncrawl,False,False,2026-04-01 11:04 UTC
Groupediverty 1729161459,https://groupediverty-1729161459.teamtailor.com,https://groupediverty-1729161459.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Minviro 1668590239,https://minviro-1668590239.teamtailor.com,,commoncrawl,False,False,2026-04-01 11:04 UTC
Producthackers,https://producthackers.teamtailor.com,https://producthackers.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Pkfsmithcooper,https://pkfsmithcooper.teamtailor.com,https://pkfsmithcooper.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Gigglebug,https://gigglebug.teamtailor.com,https://gigglebug.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Skippo,https://skippo.teamtailor.com,https://skippo.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Dabble,https://dabble.teamtailor.com,,commoncrawl,True,False,2026-04-01 11:04 UTC
Equiomgroup,https://equiomgroup.teamtailor.com,,commoncrawl,True,False,2026-04-01 11:04 UTC
Fitflop 1706800191,https://fitflop-1706800191.teamtailor.com,https://fitflop-1706800191.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Adelagruppen 1680154387,https://adelagruppen-1680154387.teamtailor.com,https://adelagruppen-1680154387.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Camagruppen,https://camagruppen.teamtailor.com,https://camagruppen.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Catalystonesolutionsas,https://catalystonesolutionsas.teamtailor.com,https://catalystonesolutionsas.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Berlingmediagroup,https://berlingmediagroup.teamtailor.com,https://berlingmediagroup.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Tiptapp,https://tiptapp.teamtailor.com,https://tiptapp.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Busuu,https://busuu.teamtailor.com,,commoncrawl,True,False,2026-04-01 11:04 UTC
Ofmstudios,https://ofmstudios.teamtailor.com,https://ofmstudios.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Above,https://above.teamtailor.com,https://above.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Testforadeo,https://testforadeo.teamtailor.com,https://testforadeo.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Therapieland,https://therapieland.teamtailor.com,https://therapieland.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Warnestadgruppen,https://warnestadgruppen.teamtailor.com,https://warnestadgruppen.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
Mantena,https://mantena.teamtailor.com,https://mantena.teamtailor.com/people,commoncrawl,True,True,2026-04-01 11:04 UTC
