company_name,base_url,people_url,source,is_teamtailor,has_people_page,tech_stage,tech_score,checked_at
Hemnet,https://careers.hemnet.se,,seed,False,False,slug_keyword,,2026-04-01 11:04 UTC
Biotwin,https://biotwin.teamtailor.com,,commoncrawl,False,False,slug_keyword,,2026-04-01 11:04 UTC
Tiptapp,https://tiptapp.teamtailor.com,https://tiptapp.teamtailor.com/people,commoncrawl,True,True,slug_keyword,,2026-04-01 11:04 UTC
Therapieland,https://therapieland.teamtailor.com,https://therapieland.teamtailor.com/people,commoncrawl,True,True,slug_keyword,,2026-04-01 11:04 UTC
Warnestadgruppen,https://warnestadgruppen.teamtailor.com,https://warnestadgruppen.teamtailor.com/people,commoncrawl,True,True,slug_keyword,,2026-04-01 11:04 UTC
Eskersoftwaregmbh,https://eskersoftwaregmbh.teamtailor.com,https://eskersoftwaregmbh.teamtailor.com/people,commoncrawl,True,True,slug_keyword,,2026-04-01 11:04 UTC
Infratec,https://infratec.teamtailor.com,https://infratec.teamtailor.com/people,commoncrawl,True,True,slug_keyword,,2026-04-01 11:04 UTC
Techseed,https://techseed.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Vismasoftwareinternationalas,https://vismasoftwareinternationalas.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Fenarc,https://fenarc.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Fitxr 1642768457,https://fitxr-1642768457.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Multiloginnew,https://multiloginnew.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Aria Jobs,https://aria-jobs.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Duologoy,https://duologoy.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Cabaia,https://cabaia.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Ipfdigital,https://ipfdigital.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Harfanglab 1666711819,https://harfanglab-1666711819.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Partseurope 1661956441,https://partseurope-1661956441.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Cossystems,https://cossystems.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Ghanainternationalbank 1644937212,https://ghanainternationalbank-1644937212.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Happii,https://happii.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
Hear,https://hear.teamtailor.com,,commoncrawl,,,slug_keyword,,2026-04-01 11:04 UTC
